"t","y1","y2","u1","u2"
"0.0","1.0","0.0","1.284144","3.3687716e-5"
"0.01","0.978982","0.012773147","1.2979089","3.366903e-5"
"0.02","0.9580926","0.0254135","1.3125957","3.364977e-5"
"0.03","0.9373195","0.03792594","1.3283184","3.36302e-5"
"0.04","0.916649","0.05031584","1.3452064","3.3610835e-5"
"0.05","0.8960657","0.06258895","1.3634061","3.3592376e-5"
"0.06","0.8755529","0.07475143","1.3830862","3.357585e-5"
"0.07","0.8550918","0.08681001","1.404438","3.3562595e-5"
"0.08","0.8346617","0.09877178","1.4276757","3.3554657e-5"
"0.09","0.81423974","0.110644385","1.4530443","3.3554657e-5"
"0.1","0.7938005","0.12243601","1.4808135","3.3566343e-5"
"0.11","0.7733148","0.13415602","1.5112846","3.3594843e-5"
"0.12","0.7527524","0.14581335","1.5447749","3.364714e-5"
"0.13","0.7320815","0.15741673","1.5816139","3.3733144e-5"
"0.14","0.71126926","0.16897409","1.6221206","3.3866498e-5"
"0.15","0.69028103","0.18049356","1.6665756","3.4066492e-5"
"0.16","0.6690816","0.19198228","1.7151744","3.4360175e-5"
"0.17","0.64764345","0.20344462","1.7679535","3.478596e-5"
"0.18","0.62594223","0.21488024","1.8247254","3.5398414e-5"
"0.19","0.6039642","0.2262837","1.8849934","3.6275786e-5"
"0.2","0.5817198","0.23764208","1.94787","3.7529477e-5"
"0.21","0.5592442","0.24893485","2.0120924","3.931899e-5"
"0.22","0.5365962","0.26013434","2.0761716","4.187419e-5"
"0.23","0.5138601","0.27120483","2.1386409","4.5528854e-5"
"0.24","0.49114317","0.28210363","2.1984348","5.0773666e-5"
"0.25","0.4686043","0.29271907","2.2552493","5.8335136e-5"
"0.26","0.44637486","0.30302054","2.309808","6.9300964e-5"
"0.27","0.42449057","0.31305796","2.3640845","8.539158e-5"
"0.28","0.40290993","0.32287887","2.421431","0.00010947536"
"0.29","0.3815132","0.33252877","2.486957","0.00014660563"
"0.3","0.36010367","0.3420508","2.5685742","0.00020632586"
"0.31","0.33840653","0.35148603","2.679328","0.000308343"
"0.32","0.31606975","0.3608732","2.841866","0.0004984224"
"0.33","0.2926633","0.37024903","3.095056","0.0009008165"
"0.34","0.26768014","0.3796478","3.4948897","0.0019319415"
"0.35","0.24053499","0.38910174","4.0727177","0.0054941974"
"0.36","0.2105655","0.39864075","4.679488","0.02626798"
"0.37","0.17784101","0.40806255","4.9642076","0.30726123"
"0.38","0.15954621","0.41468808","4.9936395","1.4464449"
"0.39","0.15350804","0.4192005","4.996523","2.1621277"
"0.4","0.15037103","0.4232193","4.9974213","2.5445452"
"0.41","0.14973804","0.4268763","4.9974737","2.5654933"
"0.42","0.14924884","0.43051276","4.997485","2.5653024"
"0.43","0.1488137","0.43414202","4.9974813","2.557073"
"0.44","0.14836758","0.4377736","4.99748","2.5503292"
"0.45","0.14792816","0.44140476","4.9974766","2.5424826"
"0.46","0.1474831","0.4450374","4.9974747","2.5353436"
"0.47","0.14705233","0.44866842","4.9974685","2.525983"
"0.48","0.1465827","0.45230556","4.997473","2.522209"
"0.49","0.14617272","0.4559344","4.997461","2.5095525"
"0.5","0.14569534","0.4595733","4.9974675","2.506671"
"0.51","0.14523807","0.4632095","4.997468","2.500721"
"0.52","0.14488447","0.46683118","4.997439","2.4794226"
"0.53","0.14428812","0.47048724","4.9974785","2.4936643"
"0.54","0.1440138","0.47409818","4.997427","2.4604673"
"0.55","0.14342575","0.47775304","4.997464","2.473256"
"0.56","0.14307763","0.48137435","4.9974337","2.4506583"
"0.57","0.1425724","0.4850176","4.9974465","2.451034"
"0.58","0.14215417","0.4886482","4.997435","2.4385133"
"0.59","0.1416886","0.4922853","4.997437","2.432829"
