"t","x1","x2","x3","u"
"0.0","0.0","1.0","0.0","-0.2449649"
"0.1","-0.120825194","0.99388516","0.10455288","-0.15987197"
"0.2","-0.22635122","0.97633743","0.20575471","0.05729413"
"0.3","-0.3042627","0.9495577","0.31070685","0.34541327"
"0.4","-0.35575247","0.9163686","0.43057474","0.56647015"
"0.5","-0.3862463","0.87909657","0.56972116","0.7677731"
"0.6","-0.39700913","0.8398056","0.7322505","0.91170245"
"0.7","-0.39969853","0.79994714","0.90068644","0.9286365"
"0.8","-0.40052244","0.7599258","1.0637429","0.92645687"
"0.9","-0.40045577","0.7198731","1.2195103","0.915906"
"1.0","-0.40005898","0.679846","1.3669723","0.89933306"
"1.1","-0.399709","0.639858","1.5055637","0.87832266"
"1.2","-0.39958602","0.59989566","1.6351652","0.85611194"
"1.3","-0.3994799","0.5599401","1.7563661","0.83689064"
"1.4","-0.39881635","0.5200182","1.870261","0.82244104"
"1.5","-0.39697766","0.48021597","1.9778618","0.8119411"
"1.6","-0.39339724","0.44067755","2.0799522","0.80356544"
"1.7","-0.38768134","0.401605","2.1769025","0.7956025"
"1.8","-0.37955713","0.36322564","2.2688613","0.7866511"
"1.9","-0.3688654","0.32578367","2.3557968","0.7755472"
"2.0","-0.35556042","0.28953892","2.4375002","0.7612284"
"2.1","-0.339729","0.25475144","2.513635","0.74265176"
"2.2","-0.321622","0.22166838","2.5837212","0.7188079"
"2.3","-0.30163667","0.19049549","2.647284","0.68879896"
"2.4","-0.28031278","0.16138853","2.703895","0.6520812"
"2.5","-0.25832564","0.13445576","2.7531676","0.6088387"
"2.6","-0.23637523","0.10974157","2.794942","0.5601803"
"2.7","-0.21510005","0.087181345","2.8295772","0.50814"
"2.8","-0.19496971","0.066678666","2.8576427","0.45514923"
"2.9","-0.17626585","0.04811656","2.8798728","0.4034899"
"3.0","-0.15908314","0.031358354","2.8971677","0.35483897"
"3.1","-0.14334619","0.016248718","2.9105465","0.31006473"
"3.2","-0.12893991","0.0026457622","2.9208019","0.26951152"
"3.3","-0.11570634","-0.009577005","2.9286056","0.23308897"
"3.4","-0.10348936","-0.020529587","2.9345233","0.20050818"
"3.5","-0.092140496","-0.030305289","2.9390018","0.17137873"
"3.6","-0.081523746","-0.038982905","2.9423873","0.14528209"
"3.7","-0.07153223","-0.046629965","2.9449441","0.12184724"
"3.8","-0.06207726","-0.053304832","2.9468753","0.10073972"
"3.9","-0.053085178","-0.059058774","2.9483495","0.08167121"
"4.0","-0.044497382","-0.06393589","2.949499","0.064392954"
"4.1","-0.0362702","-0.06797323","2.9504216","0.04870063"
"4.2","-0.028372869","-0.07120331","2.9511864","0.034422666"
"4.3","-0.020782538","-0.073659495","2.9518533","0.021414489"
"4.4","-0.013486959","-0.075370796","2.9524634","0.0095567405"
"4.5","-0.00647879","-0.0763662","2.9530506","-0.0012533069"
"4.6","0.00024418437","-0.0766748","2.9536414","-0.011104137"
"4.7","0.006679224","-0.07632576","2.9542542","-0.020070225"
"4.8","0.012818738","-0.07534835","2.9549","-0.028215855"
"4.9","0.018650347","-0.07377226","2.9555848","-0.035592735"
"5.0","0.024159193","-0.07162903","2.9563124","-0.042246133"
