"t","x1","x2","x3","u"
"0.0","0.0","1.0","0.0","-0.23864515"
"0.01","-0.012361694","0.99993813","0.010557971","-0.2336564"
"0.02","-0.02466992","0.99975294","0.021092096","-0.22818136"
"0.03","-0.03691849","0.99944496","0.03160117","-0.22217819"
"0.04","-0.049100984","0.9990148","0.042084","-0.21560398"
"0.05","-0.061210494","0.99846315","0.05253929","-0.20841455"
"0.06","-0.07323983","0.9977908","0.06296582","-0.20056558"
"0.07","-0.085181415","0.99699867","0.073362395","-0.19201443"
"0.08","-0.09702762","0.9960875","0.08372817","-0.18271826"
"0.09","-0.10877006","0.9950584","0.09406215","-0.17263898"
"0.1","-0.12040022","0.99391246","0.10436368","-0.16174151"
"0.11","-0.13190936","0.9926508","0.11463247","-0.14999607"
"0.12","-0.14328861","0.9912747","0.12486871","-0.13738011"
"0.13","-0.15452906","0.9897855","0.1350732","-0.12387797"
"0.14","-0.16562174","0.98818463","0.14524725","-0.10948393"
"0.15","-0.17655742","0.98647356","0.15539256","-0.09420189"
"0.16","-0.18732758","0.984654","0.16551165","-0.078046665"
"0.17","-0.19792335","0.9827275","0.17560811","-0.061043546"
"0.18","-0.20833626","0.9806961","0.18568628","-0.04322982"
"0.19","-0.2185585","0.97856146","0.19575104","-0.024653107"
"0.2","-0.22858307","0.97632563","0.2058081","-0.0053706765"
"0.21","-0.23840356","0.97399056","0.21586378","0.014551729"
"0.22","-0.24801438","0.97155833","0.2259251","0.035040528"
"0.23","-0.25741035","0.96903104","0.23599945","0.056015074"
"0.24","-0.26658756","0.9664108","0.24609554","0.07739243"
"0.25","-0.27554223","0.96369994","0.256222","0.099085"
"0.26","-0.28427178","0.96090066","0.2663868","0.121003926"
"0.27","-0.2927751","0.9580152","0.27659923","0.14306301"
"0.28","-0.30105174","0.9550459","0.28686827","0.16517684"
"0.29","-0.30910197","0.95199496","0.29720253","0.18726322"
"0.3","-0.31692675","0.9488647","0.30760986","0.20924395"
"0.31","-0.32452768","0.9456573","0.3180976","0.23104393"
"0.32","-0.33190718","0.94237494","0.3286728","0.2525949"
"0.33","-0.33906797","0.93902","0.33934107","0.27383345"
"0.34","-0.34601414","0.93559426","0.35010892","0.29470497"
"0.35","-0.3527495","0.93210024","0.36098045","0.3151583"
"0.36","-0.35927933","0.92853993","0.37196067","0.33515316"
"0.37","-0.36560807","0.9249154","0.3830544","0.35465348"
"0.38","-0.37174037","0.9212285","0.39426413","0.37363017"
"0.39","-0.3776829","0.91748124","0.40559024","0.3920617"
"0.4","-0.38344204","0.9136755","0.4170328","0.40993446"
"0.41","-0.38902402","0.909813","0.4285916","0.42723936"
"0.42","-0.39443478","0.9058955","0.44026616","0.44397652"
"0.43","-0.39968014","0.90192467","0.45205608","0.460149"
"0.44","-0.40476558","0.89790225","0.46396032","0.47576803"
"0.45","-0.40969655","0.89382964","0.47597796","0.4908496"
"0.46","-0.41447803","0.88970864","0.48810735","0.50541395"
"0.47","-0.41911516","0.8855405","0.5003475","0.51948524"
"0.48","-0.42361233","0.88132685","0.51269585","0.53309196"
"0.49","-0.4279743","0.8770689","0.5251512","0.54626364"
"0.5","-0.43220532","0.87276804","0.5377109","0.55903333"
"0.51","-0.43630943","0.8684255","0.55037284","0.5714337"
"0.52","-0.44029066","0.86404234","0.5631345","0.58349866"
"0.53","-0.44415247","0.85962","0.5759927","0.59526056"
"0.54","-0.44789824","0.85515964","0.58894587","0.60675156"
"0.55","-0.4515302","0.85066247","0.60199326","0.6180035"
"0.56","-0.4550502","0.84612954","0.6151339","0.6290456"
"0.57","-0.4584599","0.8415619","0.6283669","0.6399056"
"0.58","-0.46176082","0.8369607","0.64169157","0.65060914"
"0.59","-0.4649542","0.83232695","0.6551073","0.6611798"
"0.6","-0.46804118","0.8276617","0.6686142","0.67164016"
"0.61","-0.47102264","0.82296616","0.68221176","0.68201035"
"0.62","-0.47389936","0.8182412","0.69590074","0.69230926"
"0.63","-0.47667187","0.8134881","0.70968056","0.7025536"
"0.64","-0.47934058","0.80870783","0.7235527","0.71276003"
"0.65","-0.4819057","0.8039014","0.73751765","0.7229435"
"0.66","-0.48436722","0.7990698","0.7515763","0.73311824"
"0.67","-0.48672497","0.79421425","0.76572996","0.7432979"
"0.68","-0.48897862","0.7893357","0.77998006","0.7534954"
"0.69","-0.49112767","0.7844353","0.79432815","0.763722"
"0.7","-0.49317136","0.77951384","0.8087762","0.77398854"
"0.71","-0.49510875","0.77457285","0.8233253","0.7843035"
"0.72","-0.49693903","0.7696124","0.8379803","0.79467577"
"0.73","-0.49866062","0.76463443","0.85274094","0.80510634"
"0.74","-0.5002722","0.75963986","0.86761045","0.815597"
"0.75","-0.5017716","0.7546295","0.8825924","0.82614344"
"0.76","-0.50315785","0.74960464","0.8976888","0.83673507"
"0.77","-0.5044305","0.7445666","0.91290164","0.84735376"
"0.78","-0.50558954","0.73951656","0.92823184","0.85797256"
"0.79","-0.50663555","0.7344556","0.94367945","0.8685556"
"0.8","-0.50756925","0.72938496","0.9592434","0.87905747"
"0.81","-0.5083918","0.72430575","0.9749222","0.8894232"
"0.82","-0.50910485","0.7192189","0.99071306","0.89958924"
"0.83","-0.5097104","0.71412563","1.0066128","0.90948504"
"0.84","-0.51021063","0.7090268","1.0226166","0.9190354"
"0.85","-0.51060843","0.70392346","1.0387198","0.92816347"
"0.86","-0.51090693","0.69881666","1.0549157","0.93679446"
"0.87","-0.51110953","0.6937071","1.0711977","0.9448599"
"0.88","-0.51122016","0.68859583","1.0875577","0.95230204"
"0.89","-0.5112431","0.68348354","1.1039873","0.9590773"
"0.9","-0.511183","0.6783714","1.1204759","0.96515924"
"0.91","-0.5110449","0.67325974","1.1370147","0.9705414"
"0.92","-0.5108342","0.6681496","1.1535912","0.9752353"
"0.93","-0.51055676","0.6630417","1.1701927","0.979271"
"0.94","-0.5102188","0.65793693","1.1868063","0.98269266"
"0.95","-0.5098268","0.6528356","1.2034185","0.98555654"
"0.96","-0.5093877","0.64773816","1.2200153","0.98792464"
"0.97","-0.508909","0.64264566","1.2365794","0.9898611"
"0.98","-0.50839823","0.6375586","1.2530946","0.9914294"
"0.99","-0.50786036","0.6324772","1.2695503","0.99268883"
"1.0","-0.50729203","0.6274015","1.2859541","0.9936934"
"1.01","-0.50669354","0.62233156","1.3023045","0.9944888"
"1.02","-0.5060655","0.6172677","1.3185998","0.9951126"
"1.03","-0.5054083","0.61221033","1.3348385","0.995596"
"1.04","-0.50472254","0.6071596","1.3510185","0.9959639"
"1.05","-0.5040086","0.6021159","1.3671387","0.99623555"
"1.06","-0.5032669","0.5970795","1.3831974","0.9964264"
"1.07","-0.5024978","0.59205055","1.3991934","0.9965473"
"1.08","-0.50170165","0.58702946","1.4151253","0.9966063"
"1.09","-0.5008788","0.5820165","1.4309914","0.99660915"
"1.1","-0.50002956","0.5770119","1.4467908","0.99655956"
"1.11","-0.4991541","0.5720159","1.4625227","0.99645907"
"1.12","-0.4982527","0.5670288","1.4781855","0.9963084"
"1.13","-0.49732548","0.56205094","1.4937786","0.9961067"
"1.14","-0.49637267","0.55708253","1.5093007","0.99585253"
"1.15","-0.49539432","0.5521236","1.5247519","0.99554414"
"1.16","-0.49439058","0.5471749","1.54013","0.9951789"
"1.17","-0.49336138","0.542236","1.555436","0.99475425"
"1.18","-0.49230692","0.53730774","1.5706677","0.9942675"
"1.19","-0.49122706","0.5323901","1.5858254","0.9937164"
"1.2","-0.49012175","0.5274832","1.6009091","0.9930987"
"1.21","-0.48899102","0.52258784","1.6159168","0.99241287"
"1.22","-0.48783508","0.5177036","1.6308489","0.9916579"
"1.23","-0.4866554","0.5128311","1.6457013","0.99083394"
"1.24","-0.4854521","0.50797045","1.6604735","0.9899412"
"1.25","-0.48422506","0.503122","1.6751649","0.9889813"
"1.26","-0.4829743","0.4982859","1.6897753","0.98795563"
"1.27","-0.4816997","0.49346235","1.7043042","0.986867"
"1.28","-0.48040125","0.4886517","1.7187513","0.9857181"
"1.29","-0.47907883","0.48385412","1.7331161","0.9845124"
"1.3","-0.47773242","0.4790699","1.7473984","0.98325354"
"1.31","-0.4763619","0.47429922","1.7615978","0.9819452"
"1.32","-0.4749672","0.46954235","1.7757139","0.98059136"
"1.33","-0.47354826","0.46479952","1.7897466","0.9791959"
"1.34","-0.47210503","0.4600711","1.8036952","0.9777624"
"1.35","-0.47063735","0.45535722","1.8175596","0.97629434"
"1.36","-0.46914515","0.45065814","1.8313397","0.9747949"
"1.37","-0.46762836","0.4459741","1.8450352","0.9732669"
"1.38","-0.46608686","0.44130537","1.8586458","0.9717129"
"1.39","-0.46452054","0.43665215","1.8721714","0.97013503"
"1.4","-0.46292934","0.43201476","1.8856115","0.968535"
"1.41","-0.4613132","0.4273936","1.8989657","0.96691436"
"1.42","-0.45967185","0.4227886","1.9122344","0.9652738"
"1.43","-0.45800522","0.41820008","1.9254178","0.96361417"
"1.44","-0.45631334","0.41362858","1.9385144","0.9619356"
"1.45","-0.4545959","0.4090739","1.9515254","0.96023816"
"1.46","-0.45285296","0.40453684","1.9644492","0.95852166"
"1.47","-0.45108417","0.40001705","1.9772877","0.95678514"
"1.48","-0.44928968","0.39551544","1.9900385","0.955028"
"1.49","-0.4474691","0.39103174","2.0027034","0.9532489"
"1.5","-0.44562238","0.38656637","2.0152814","0.95144695"
"1.51","-0.44374943","0.38211966","2.027773","0.9496203"
"1.52","-0.44185004","0.3776918","2.0401776","0.9477672"
"1.53","-0.4399241","0.37328306","2.0524955","0.94588643"
"1.54","-0.43797165","0.3688941","2.0647254","0.9439754"
"1.55","-0.43599215","0.36452442","2.0768695","0.9420324"
"1.56","-0.4339856","0.3601747","2.088927","0.9400547"
"1.57","-0.43195188","0.355845","2.1008976","0.9380407"
"1.58","-0.42989087","0.35153598","2.1127813","0.9359879"
"1.59","-0.42780235","0.34724772","2.124578","0.9338934"
"1.6","-0.4256863","0.34298062","2.136288","0.9317551"
"1.61","-0.42354208","0.33873418","2.1479125","0.9295699"
"1.62","-0.42137003","0.3345096","2.1594498","0.92733544"
"1.63","-0.41917017","0.33030683","2.1709003","0.92504936"
"1.64","-0.416943","0.3261261","2.1822631","0.92270905"
"1.65","-0.41468883","0.32196775","2.1935372","0.92031235"
"1.66","-0.412408","0.31783202","2.204722","0.91785675"
"1.67","-0.41010085","0.31371924","2.2158158","0.9153399"
"1.68","-0.40776783","0.30962965","2.2268183","0.91275924"
"1.69","-0.40540925","0.3055635","2.2377288","0.9101122"
"1.7","-0.40302566","0.3015212","2.248546","0.907397"
